TEAM SEASON,WIN%,PTS,FG%,FT%,PERSONAL FOULS +/-
2010-11 Milwaukee Bucks,0.4270000000000001,91.9,43.0,75.7,-0.8
2010-11 Minnesota Timberwolves,0.207,101.1,44.1,76.8,-6.6
2010-11 New Jersey Nets,0.293,94.2,44.0,75.9,-6.2
2010-11 New Orleans Hornets,0.561,94.9,45.9,76.5,0.9
2010-11 New York Knicks,0.512,106.5,45.7,80.9,0.8
2010-11 Oklahoma City Thunder,0.6709999999999999,104.8,46.4,82.3,3.8
2010-11 Orlando Magic,0.634,99.2,46.1,69.2,5.5
2010-11 Philadelphia 76ers,0.5,99.0,46.1,77.0,1.5
2010-11 Phoenix Suns,0.488,105.0,47.0,75.9,-0.9
2010-11 Portland Trail Blazers,0.585,96.3,44.7,80.4,1.5
2010-11 Sacramento Kings,0.293,99.4,44.9,73.4,-5.3
2010-11 San Antonio Spurs,0.7440000000000001,103.7,47.5,76.7,5.7
2010-11 Toronto Raptors,0.268,99.1,46.5,75.5,-6.3
2010-11 Utah Jazz,0.476,99.4,46.5,77.1,-1.8
2010-11 Washington Wizards,0.28,97.3,44.3,74.5,-7.4
2009-10 Atlanta Hawks,0.6459999999999999,101.7,46.8,75.9,4.7
2009-10 Boston Celtics,0.61,99.2,48.3,74.6,3.7
2009-10 Charlotte Bobcats,0.537,95.3,45.3,75.1,1.5
2009-10 Chicago Bulls,0.5,97.5,45.1,75.4,-1.6
2009-10 Cleveland Cavaliers,0.7440000000000001,102.1,48.5,72.0,6.5
2009-10 Dallas Mavericks,0.6709999999999999,102.0,46.4,81.6,2.7
2009-10 Denver Nuggets,0.6459999999999999,106.5,46.8,77.2,4.1
2009-10 Detroit Pistons,0.329,94.0,44.5,72.8,-5.1
2009-10 Golden State Warriors,0.317,108.8,46.9,78.2,-3.6
2009-10 Houston Rockets,0.512,102.4,44.7,77.2,-0.4
2009-10 Indiana Pacers,0.39,100.8,44.3,77.5,-3.0
2009-10 Los Angeles Clippers,0.354,95.7,45.5,73.0,-6.4
2009-10 Los Angeles Lakers,0.695,101.7,45.7,76.5,4.7
2009-10 Memphis Grizzlies,0.488,102.5,46.9,73.3,-1.5
2009-10 Miami Heat,0.573,96.5,45.8,75.2,2.3
2009-10 Milwaukee Bucks,0.561,97.7,43.6,75.5,1.7
